Year,Lat,Lon,days_below_55F,days_below_32F,days_below_28F,days_below_26F,annual_min_temp_F
1956,35.0,-95.0,190,50,26,22,3.617756
1956,35.0,-94.75,187,45,24,20,5.340412
1956,35.0,-94.5,190,46,25,20,6.689972
1956,35.0,-94.25,194,50,25,19,7.1404114
1956,35.0,-94.0,193,52,26,18,4.6724434
1956,35.0,-93.75,185,48,24,18,5.7811832
1956,35.0,-93.5,183,41,21,16,10.739971
1956,35.0,-93.25,182,39,21,12,13.932159
1956,35.0,-93.0,179,41,18,12,10.30755
1956,35.0,-92.75,180,38,19,14,9.006769
1956,35.0,-92.5,177,37,20,14,11.010675
1956,35.0,-92.25,176,38,20,14,14.287678
1956,35.0,-92.0,169,35,19,12,16.787287
1956,35.0,-91.75,170,38,20,13,20.2972
1956,35.0,-91.5,170,38,21,12,20.156574
1956,35.0,-91.25,171,37,20,13,20.349934
1956,35.0,-91.0,171,37,21,12,21.04295
1956,35.0,-90.75,167,36,14,8,20.93045
1956,35.0,-90.5,168,34,14,6,21.728497
1956,35.0,-90.25,175,36,16,6,22.705841
1956,35.0,-90.0,179,41,16,9,21.923176
1956,35.0,-89.75,178,39,13,8,22.690022
1956,35.0,-89.5,180,42,15,8,22.581036
1956,35.0,-89.25,182,41,15,9,22.346807
1956,35.0,-89.0,185,43,13,9,21.87923
1956,35.0,-88.75,181,45,16,8,21.858576
1956,35.0,-88.5,180,42,15,6,21.964045
1956,35.0,-88.25,180,41,15,6,21.992168
1956,35.0,-88.0,182,41,17,6,21.538654
1956,35.0,-87.75,183,42,17,6,21.362873
1956,35.0,-87.5,187,43,18,8,21.39803
1956,35.0,-87.25,186,43,18,9,21.416046
1956,35.0,-87.0,186,42,18,9,21.507893
1956,35.0,-86.75,190,49,23,12,19.851593
1956,35.0,-86.5,192,51,23,11,20.091974
1956,35.0,-86.25,193,51,19,11,19.831818
1956,35.0,-86.0,189,50,18,11,19.824787
1956,35.0,-85.75,190,49,17,9,19.782598
1956,35.0,-85.5,190,50,20,9,20.331036
1956,35.0,-85.25,190,51,21,10,21.350567
1956,35.0,-85.0,185,40,13,9,22.356037
1956,35.0,-84.75,192,49,17,11,20.422443
1956,35.0,-84.5,198,57,24,13,18.931818
1956,35.0,-84.25,209,60,32,15,18.32713
1956,35.0,-84.0,218,63,36,18,17.90921
1956,35.0,-83.75,231,70,43,24,17.998419
1956,35.0,-83.5,233,73,39,21,18.652325
1956,35.0,-83.25,231,69,32,17,19.896856
1956,35.0,-83.0,216,59,23,7,21.119854
1956,35.0,-82.75,204,56,23,7,21.506573
1956,35.0,-82.5,196,52,25,12,21.26795
1956,35.0,-82.25,190,56,27,17,20.002325
1956,35.0,-82.0,187,51,26,11,19.82962
1956,35.0,-81.75,182,41,16,9,22.002277
1956,35.0,-81.5,181,37,12,8,22.81834
1956,35.0,-81.25,180,35,16,7,21.914825
1956,35.0,-81.0,181,38,21,9,21.801886
1956,35.0,-80.75,181,39,20,10,20.121857
1956,35.0,-80.5,183,38,22,10,20.227325
1956,35.0,-80.25,180,35,21,9,21.543049
1956,35.0,-80.0,174,30,13,6,23.81458
1956,35.0,-79.75,177,35,20,12,21.514044
1956,35.0,-79.5,178,38,23,15,21.197638
1956,35.0,-79.25,177,36,23,12,21.7742
1956,35.0,-79.0,175,37,20,10,22.150372
1956,35.0,-78.75,172,37,21,11,22.336262
1956,35.0,-78.5,173,37,21,12,22.241339
1956,35.0,-78.25,174,36,20,11,22.21673
1956,35.0,-78.0,173,36,19,10,22.153448
1956,35.0,-77.75,172,36,17,9,22.032598
1956,35.0,-77.5,171,30,12,6,22.760334
1956,35.0,-77.25,166,27,8,4,24.722052
1956,35.0,-77.0,161,19,6,1,25.876057
1956,35.0,-76.75,149,12,0,0,28.417852
1956,34.75,-95.0,190,48,25,22,4.1059875
1956,34.75,-94.75,192,50,26,21,4.144659
1956,34.75,-94.5,193,52,27,21,6.9505672
1956,34.75,-94.25,193,53,26,22,7.3443184
1956,34.75,-94.0,192,53,24,19,7.6888485
1956,34.75,-93.75,188,43,22,17,8.4882145
1956,34.75,-93.5,182,38,18,11,14.417316
1956,34.75,-93.25,179,36,17,11,19.261847
1956,34.75,-93.0,180,40,17,11,16.930988
1956,34.75,-92.75,176,39,17,12,11.562628
1956,34.75,-92.5,176,38,18,10,14.726252
1956,34.75,-92.25,173,37,20,10,16.651495
1956,34.75,-92.0,170,32,16,9,21.561504
1956,34.75,-91.75,168,33,16,8,22.838995
1956,34.75,-91.5,170,35,16,8,22.72298
1956,34.75,-91.25,170,36,17,9,22.737041
1956,34.75,-91.0,171,36,18,9,23.104425
1956,34.75,-90.75,168,33,13,5,23.36678
1956,34.75,-90.5,166,32,13,5,23.30833
1956,34.75,-90.25,171,34,12,5,22.858332
1956,34.75,-90.0,174,36,11,6,23.51092
1956,34.75,-89.75,177,38,13,6,23.183966
1956,34.75,-89.5,177,39,13,7,22.885138
1956,34.75,-89.25,182,38,14,7,22.66717
1956,34.75,-89.0,181,39,15,6,22.387676
1956,34.75,-88.75,180,38,16,6,22.162678
1956,34.75,-88.5,176,36,14,6,22.271662
1956,34.75,-88.25,175,38,14,6,22.380646
1956,34.75,-88.0,179,37,14,6,22.363068
1956,34.75,-87.75,179,39,15,8,20.60174
1956,34.75,-87.5,175,38,14,8,21.413849
1956,34.75,-87.25,174,30,11,6,23.252522
